,Churn,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling
1304,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes
1305,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
1306,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
1307,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes
1308,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
1309,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
1310,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
1311,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No
1312,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes
1313,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No
1314,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes
1315,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes
1316,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes
1317,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No
1318,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes
1319,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
1320,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes
1321,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
1322,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No
1323,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes
1324,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
1325,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
1326,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes
1327,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No
1328,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No
1329,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes
1330,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
1331,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
1332,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
1333,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes
1334,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
1335,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
1336,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes
1337,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
1338,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes
1339,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
1340,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes
1341,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
1342,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes
1343,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes
1344,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
1345,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
1346,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1347,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
1348,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
1349,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes
1350,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes
1351,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No
1352,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
1353,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
1354,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No
1355,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No
1356,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No
1357,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
1358,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No
1359,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
1360,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No
1361,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
1362,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No
1363,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No
1364,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
1365,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No
1366,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes
1367,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No
1368,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes
1369,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No
1370,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes
1371,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No
1372,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No
1373,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
1374,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1375,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
1376,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes
1377,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No
1378,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No
1379,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes
1380,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes
1381,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes
1382,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes
1383,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes
1384,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No
1385,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes
1386,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes
1387,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
1388,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
1389,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes
1390,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes
1391,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes
1392,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No
1393,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
1394,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
1395,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No
1396,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
1397,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No
1398,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No
1399,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
1400,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
1401,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
1402,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No
1403,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No
1404,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No
1405,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1406,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No
1407,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No
1408,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
1409,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes
1410,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No
1411,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No
1412,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes
1413,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No
1414,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No
1415,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes
1416,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
1417,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes
1418,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes
1419,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No
1420,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes
1421,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
1422,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes
1423,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes
1424,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No
1425,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes
1426,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No
1427,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
1428,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
1429,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
1430,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1431,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes
1432,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No
1433,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes
1434,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes
1435,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
1436,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
1437,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes
1438,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No
1439,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes
1440,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
1441,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes
1442,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes
1443,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No
1444,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No
1445,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
1446,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes
1447,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
1448,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
1449,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes
1450,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes
1451,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes
1452,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
1453,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No
1454,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes
1455,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No
1456,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
1457,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
1458,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes
1459,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes
1460,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes
1461,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes
1462,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No
1463,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes
1464,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes
1465,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No
1466,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No
1467,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No
1468,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
1469,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes
1470,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
1471,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
1472,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes
1473,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
1474,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
1475,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No
1476,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
1477,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes
1478,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
1479,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No
1480,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes
1481,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
1482,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No
1483,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes
1484,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
1485,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
1486,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes
1487,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes
1488,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
1489,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes
1490,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No
1491,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes
1492,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes
1493,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
1494,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
1495,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes
1496,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes
1497,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
1498,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No
1499,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
1500,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
1501,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes
1502,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
1503,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No
1504,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No
1505,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
1506,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes
1507,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes
1508,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
1509,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes
1510,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
1511,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes
1512,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes
1513,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No
1514,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No
1515,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
1516,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
1517,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No
1518,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
1519,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes
1520,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No
1521,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes
1522,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No
1523,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes
1524,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes
1525,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
1526,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No
1527,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No
1528,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes
1529,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No
1530,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No
1531,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes
1532,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No
1533,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
1534,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No
1535,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No
1536,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No
1537,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes
1538,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
1539,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
1540,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
1541,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
1542,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No
1543,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
1544,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
1545,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No
1546,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
1547,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No
1548,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
1549,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes
1550,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
1551,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes
1552,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes
1553,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No
1554,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No
1555,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
1556,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes
1557,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No
1558,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
1559,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
1560,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
1561,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
1562,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
1563,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
1564,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
1565,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
1566,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
1567,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No
1568,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
1569,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes
1570,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes
1571,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes
1572,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
1573,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
1574,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes
1575,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes
1576,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
1577,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
1578,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
1579,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1580,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes
1581,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes
1582,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No
1583,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No
1584,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes
1585,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
1586,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes
1587,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
1588,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes
1589,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
1590,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
1591,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No
1592,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
1593,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes
1594,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
1595,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes
1596,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No
1597,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No
1598,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes
1599,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
1600,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No
1601,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes
1602,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
1603,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No
1604,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
1605,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes
1606,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
1607,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes
1608,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
1609,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
1610,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No
1611,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No
1612,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
1613,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
1614,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes
1615,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes
1616,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes
1617,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
1618,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
1619,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
1620,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes
1621,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
1622,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
1623,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes
1624,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
1625,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No
1626,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
1627,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes
1628,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No
1629,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No
1630,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
1631,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No
1632,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes
1633,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
1634,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes
1635,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
1636,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No
1637,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No
1638,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No
1639,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No
1640,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No
1641,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes
1642,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes
1643,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
1644,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1645,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
